Erica_08_10_Flashing Isolated Character
Direction,Letter Height (degrees),Eccentricity (degrees)
3,0.40000000000000000,15
1,0.2000000000000000,20
1,0.4,25
3,0.5000000000000000,30
1,0.30000000000000000,5
1,0.8,30
3,0.4,10
3,0.30000000000000000,5
1,0.30000000000000000,15
3,0.40000000000000000,20
3,0.7000000000000000,25
1,0.20000000000000000,10
1,0.8,35
3,0.40000000000000000,35
3,1.2,40
1,0.8,40
