Directrion,Letter Height (degree),Eccentricity (degree)
1,0.4,10
1,1.5,35
1,1.2,20
1,0.5,15
1,0.3,5
1,2.6,40
1,0.3,25
1,0.4,30
3,0.3,25
3,0.4,5
3,1.7,40
3,0.4,10
3,0.4,15
3,0.4,20
3,0.7,30
3,1.7,35
