Directrion,Letter Height (degree),Eccentricity (degree)
1,0.5,20
1,0.6,30
1,0.3,5
1,0.9,25
1,0.5,15
1,0.6,40
1,1.5,35
1,0.4,10
3,0.5,35
3,0.3,10
3,0.4,25
3,0.2,5
3,0.3,15
3,0.4,20
3,0.4,30
3,0.7,40
