Directrion,Letter Height (degree),Eccentricity (degree)
1,0.4,10
1,2.7,25
1,3.2,40
1,1.5,35
1,0.6,15
1,0.4,5
1,1,20
1,2,30
3,3.4,35
3,1.4,30
3,0.9,25
3,3.5,40
3,1.4,15
3,2.4,20
3,0.4,5
3,0.9,10
