Directrion,Letter Height (degree),Eccentricity (degree)
1,1.2,10
1,1.1,30
1,4.1,40
1,4.6,25
1,0.3,5
1,1.8,15
1,5.3,35
1,1.9,20
3,2.7,25
3,1.2,15
3,0.5,10
3,3.7,35
3,4.3,40
3,0.4,5
3,1.4,20
3,2.8,30
