Directrion,Letter Height (degree),Eccentricity (degree)
1,0.4,10
1,1.6,35
1,0.8,25
1,0.7,15
1,0.8,20
1,1.2,30
1,0.4,5
1,2.9,40
3,1.6,40
3,2.3,35
3,0.4,15
3,0.5,5
3,0.6,20
3,0.7,25
3,0.3,10
3,1.1,30
